Group,Temp ID,Animal ID,Sex,Code,Day,9,12,15,19,22,26,29,33,36
19,206,206,F,TS,37,61.12,62.97,104.07,297.75,385.80,641.58,976.52,1560.27,2229.17
19,208,208,F,TV-S,34,59.68,78.50,133.56,321.65,556.96,1423.52,1854.20,2389.36,
19,267,267,F,TS,37,66.46,81.51,106.73,188.83,403.36,586.78,1025.21,1435.92,2025.77
19,276,276,F,TS,37,61.01,77.74,129.48,273.96,399.31,562.45,1029.42,1381.14,1955.27
19,302,302,F,TV-S,34,74.01,110.36,144.15,321.76,502.20,1518.08,1743.46,2112.23,
19,331,331,F,TV-S,34,63.95,81.59,101.46,169.67,339.90,527.69,1539.99,2169.26,
20,16,16,F,TS,37,62.85,88.09,128.02,199.69,312.62,410.25,668.72,904.92,1540.77
20,31,31,F,TS,37,58.38,66.60,101.40,127.82,237.43,448.35,574.50,779.87,1459.02
20,94,94,F,TV-S,30,84.25,79.75,138.44,439.71,826.73,1123.76,2910.67,,
20,159,159,F,TS,37,68.30,52.48,88.95,150.81,276.00,521.79,756.58,1070.36,2070.13
20,180,180,F,TS,37,58.81,69.71,74.72,85.94,198.85,330.43,596.37,1036.43,1251.12
20,196,196,F,TS,37,55.71,86.22,148.72,213.20,394.48,603.15,799.63,865.59,1806.88
20,219,219,F,D,12,68.62,,,,,,,,
20,231,231,F,D,12,53.91,90.47,,,,,,,
20,286,286,F,TS,37,59.11,68.85,78.57,121.96,219.80,260.58,517.99,1584.34,1659.44
20,321,321,F,TS,37,59.03,80.52,136.98,315.03,333.21,642.03,943.89,1883.05,2180.94
21,38,38,F,TS,37,78.48,82.50,136.26,244.74,453.39,463.75,730.81,1113.22,1790.16
21,44,44,F,TS,37,61.65,69.71,155.58,289.58,336.21,772.55,1320.38,1423.05,1797.69
21,70,70,F,D,13,59.12,67.46,,,,,,,
21,135,135,F,TS,37,55.79,68.03,186.84,207.16,198.80,319.49,374.41,775.24,1273.43
21,193,193,F,TV-S,34,68.95,88.69,76.68,336.43,738.99,1342.04,1410.57,2347.45,
21,215,215,F,TS,37,63.39,60.25,100.78,222.67,299.01,734.23,821.57,931.20,1497.73
21,304,304,F,TS,37,58.16,69.90,120.17,217.20,592.51,686.40,884.09,1134.07,1961.48
21,305,305,F,TS,37,67.95,72.93,74.55,124.65,663.04,864.91,1056.83,1890.69,2505.26
21,311,311,F,TS,37,61.08,96.88,126.72,193.70,386.54,663.41,883.71,1337.47,1854.30
21,335,335,F,TS,37,54.32,67.29,95.84,284.83,266.05,449.45,642.79,743.25,1061.43
